frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1301;13.010000;3;1.161564e+02;8.285288e+01;5.143835e+01;8.835114e-01;7.262775e-01;6.489751e-01;8.212145e-02;3.494860e-02;2.725225e-02;-7.422222e+00
1302;13.020000;2;1.082693e+02;7.843710e+01;0;8.646188e-01;6.854957e-01;0;5.804180e-02;2.498462e-02;0;-7.631035e+00
1303;13.030000;2;9.747272e+01;6.752060e+01;0;8.752058e-01;5.405290e-01;0;6.985969e-02;1.897418e-02;0;-7.523160e+00
1304;13.040000;3;2.748824e+02;1.397372e+02;9.317677e+01;9.051921e-01;8.922201e-01;8.721564e-01;8.722453e-02;7.672652e-02;6.468512e-02;-7.585957e+00
1305;13.050000;3;1.252750e+02;8.385874e+01;5.647747e+01;9.100061e-01;7.173010e-01;6.076046e-01;7.934225e-02;2.525767e-02;1.819674e-02;-7.739603e+00
1306;13.060000;3;1.154131e+02;8.235747e+01;5.135250e+01;9.083957e-01;7.211928e-01;6.589178e-01;8.467326e-02;2.782007e-02;2.274066e-02;-7.712404e+00
1307;13.070000;3;2.025085e+02;1.091198e+02;7.741680e+01;8.557906e-01;8.484750e-01;6.691021e-01;4.959169e-02;4.719740e-02;2.161267e-02;-7.939804e+00
1308;13.080000;3;1.963867e+02;1.639223e+02;9.894080e+01;8.768269e-01;8.721889e-01;8.690727e-01;5.298631e-02;5.106352e-02;4.984814e-02;-7.955924e+00
1309;13.090000;2;9.468121e+01;6.646698e+01;0;8.847287e-01;4.943875e-01;0;5.527796e-02;1.260246e-02;0;-8.070889e+00
1310;13.100000;3;2.732314e+02;1.389868e+02;9.260671e+01;9.024200e-01;9.018988e-01;8.321491e-01;6.848077e-02;6.811696e-02;3.981125e-02;-7.995945e+00
1311;13.110000;3;2.532477e+02;1.289991e+02;8.314581e+01;8.971658e-01;8.948919e-01;6.125690e-01;6.953257e-02;6.802830e-02;1.845573e-02;-8.019472e+00
1312;13.120000;2;1.215501e+02;5.416000e+01;0;9.053968e-01;6.706703e-01;0;6.914822e-02;1.986349e-02;0;-7.959343e+00
1313;13.130000;3;1.133279e+02;8.229782e+01;5.129684e+01;9.061664e-01;6.684453e-01;6.260937e-01;7.097936e-02;2.008794e-02;1.781262e-02;-7.916873e+00
1314;13.140000;2;1.098442e+02;7.830185e+01;0;8.798732e-01;6.308762e-01;0;5.819894e-02;1.894013e-02;0;-7.828112e+00
1315;13.150000;1;9.835297e+01;0;0;8.808176e-01;0;0;5.707257e-02;0;0;-7.956554e+00
1316;13.160000;3;1.495495e+02;9.405048e+01;6.695493e+01;8.838685e-01;8.580579e-01;5.420649e-01;6.044452e-02;4.945335e-02;1.532862e-02;-7.896190e+00
